organization_id,type,pricing_mode
2,Senior,Organization Paid
17,Workforce,Organization Paid
26,Senior,Organization Paid
37,Senior,Organization Paid
8,Student,Organization Paid
22,Other,Rider Paid
9,Student,Organization Paid
1,Other,Rider Paid
34,Workforce,Split Payment
13,Student,Split Payment
27,Workforce,Split Payment
35,Workforce,Split Payment
21,Workforce,Organization Paid
12,Other,Rider Paid
43,Senior,Organization Paid
42,Senior,Split Payment
20,Student,Organization Paid
14,Student,Split Payment
32,Workforce,Split Payment
33,Workforce,Organization Paid
24,Student,Organization Paid
30,Student,Split Payment
41,Healthcare,Organization Paid
39,Senior,Organization Paid
40,Student,Split Payment
38,Workforce,Split Payment
